asv	domain	dper	phylum	pper	class	cper	order	oper	family	fper	genus	gper
26cfdb2bcbd3a64a84e9b237d94a97eb	Bacteria	1	Bacillota	1	Bacilli	1	Lactobacillales	1	Enterococcaceae	1	Enterococcus	1
89bad9961f608b8c9ecf98ab46635b97	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
ed317c44d59de735af06bb73a4a2ee5e	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
badd51026176fcf9471de6cf2624087a	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
1765b330846289ef870f0af79036148a	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
9ea812d2b48792e6eb9b6a8aad37a247	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Erwiniaceae	1	Pantoea	1
a84130117c4050e165199bce9ce5520e	Bacteria	1	Bacillota	1	Bacilli	1	Lactobacillales	1	Enterococcaceae	1	Enterococcus	1
75389db78ba52fb30f5ccebc73eb13b0	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
c78f4f4b3fa22dbbb3a21d79743e7ace	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
dc1e5bd374efca11fa71f3044140c070	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
449433e16f3c390f56aa16cd23613d4d	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
b5d13b9a826fa0fed6ff7e8eb34c83ca	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
39bb331d33263d4d738468056f445543	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
7c4f2bdea421c4ee3ba4df8c310bccd1	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
397d23e0114650ce8a14771ec61afcd7	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Erwiniaceae	1	Pantoea	1
b77df083d25ba41454269c3d10a3078f	Bacteria	1	Pseudomonadota	1	Gammaproteobacteria	1	Enterobacterales	1	Enterobacteriaceae	1	Enterobacter	1
