id	asv_clean	0129_cdfa_med_1	0129_cdfa_med_10_run2	0129_cdfa_med_12	0129_cdfa_med_13	0129_cdfa_med_14	0129_cdfa_med_15	0129_cdfa_med_16_run2	0129_cdfa_med_18	0129_cdfa_med_19	0129_cdfa_med_2	0129_cdfa_med_20	0129_cdfa_med_21	0129_cdfa_med_24	0129_cdfa_med_25	0129_cdfa_med_26	0129_cdfa_med_27	0129_cdfa_med_28_run2	0129_cdfa_med_3	0129_cdfa_med_30	0129_cdfa_med_31	0129_cdfa_med_32	0129_cdfa_med_33	0129_cdfa_med_36	0129_cdfa_med_37	0129_cdfa_med_38	0129_cdfa_med_39	0129_cdfa_med_4	0129_cdfa_med_42	0129_cdfa_med_43	0129_cdfa_med_44	0129_cdfa_med_45	0129_cdfa_med_5_run2	0129_cdfa_med_6	0129_cdfa_med_7	0129_cdfa_med_8	0129_cdfa_med_9	0201_med_CC29_1	0201_med_CC29_10	0201_med_CC29_11	0201_med_CC29_12	0201_med_CC29_13	0201_med_CC29_14	0201_med_CC29_15	0201_med_CC29_16	0201_med_CC29_17	0201_med_CC29_18	0201_med_CC29_19	0201_med_CC29_2	0201_med_CC29_20	0201_med_CC29_21	0201_med_CC29_22	0201_med_CC29_23	0201_med_CC29_24	0201_med_CC29_25	0201_med_CC29_26	0201_med_CC29_27	0201_med_CC29_28	0201_med_CC29_29	0201_med_CC29_3	0201_med_CC29_30	0201_med_CC29_31	0201_med_CC29_32	0201_med_CC29_33	0201_med_CC29_34	0201_med_CC29_35	0201_med_CC29_36	0201_med_CC29_37	0201_med_CC29_38	0201_med_CC29_39	0201_med_CC29_4	0201_med_CC29_40	0201_med_CC29_41	0201_med_CC29_42	0201_med_CC29_43	0201_med_CC29_44	0201_med_CC29_45	0201_med_CC29_46	0201_med_CC29_47	0201_med_CC29_48	0201_med_CC29_49	0201_med_CC29_5	0201_med_CC29_50	0201_med_CC29_51	0201_med_CC29_52	0201_med_CC29_53	0201_med_CC29_54	0201_med_CC29_56	0201_med_CC29_57	0201_med_CC29_58	0201_med_CC29_6	0201_med_CC29_60	0201_med_CC29_61	0201_med_CC29_62	0201_med_CC29_64	0201_med_CC29_65	0201_med_CC29_66	0201_med_CC29_67	0201_med_CC29_68	0201_med_CC29_69	0201_med_CC29_7	0201_med_CC29_70	0201_med_CC29_71	0201_med_CC29_72	0201_med_CC29_73	0201_med_CC29_74	0201_med_CC29_75	0201_med_CC29_76	0201_med_CC29_77	0201_med_CC29_78	0201_med_CC29_79	0201_med_CC29_8	0201_med_CC29_80	0201_med_CC29_9	CDFA_7d_CC29IRR1_PPA_run2	CDFA_7d_CC29IRR10_PPA_run2	CDFA_7d_CC29IRR2_PPA_run2	CDFA_7d_CC29IRR4_PPA_run2	CDFA_7d_CC29IRR5_PPA_run2	CDFA_7d_CC29IRR9_PPA_run2	CDFA_7d_CC29NIR1_PPA_run2	CDFA_7d_CC29NIR10_PPA_run2	CDFA_7d_CC29NIR4_PPA_run2	CDFA_7d_CC29NIR7_PPA_run2	CDFA_7d_CC29NIR9_PPA_run2	CDFA_7d_controlIRR1_PPA_run2	CDFA_7d_controlIRR10_PPA_run2	CDFA_7d_controlIRR4_PPA_run2	CDFA_7d_controlIRR5_PPA_run2	CDFA_7d_controlIRR6_PPA_run2	CDFA_7d_controlIRR7_PPA_run2	CDFA_7d_controlIRR8_PPA_run2	CDFA_7d_controlNIR10_PPA_run2	CDFA_7d_controlNIR3_PPA_run2	CDFA_7d_controlNIR6_PPA_run2	CDFA_7d_controlNIR9_PPA_run2	Enterobacter_CC2903	negative_control1	negative12_20control_PPA_run2	Positive1219_213683_PPA_run2
26cfdb2bcbd3a64a84e9b237d94a97eb	asv_1	90	0	45	46	46	56	1	23	28	4	31	19	63	78	82	76	1	3	14	17	10	4621	6	6	5	4	6	0	0	0	0	0	34	45	25	53	1818	1257	36837	32374	45306	1198	26335	50655	69449	48247	59947	619	68752	20439	18419	4908	11876	9351	3348	5528	8241	8608	1716	2095	19012	70994	39362	30150	75670	103165	15743	79701	60513	2384	36464	5873	18040	8269	2249	7439	4804	8130	5356	2910	439	12650	54	77	35	34	59	60	39	271	55	1265	1161	1568	1114	324	1590	1429	1689	2510	21	27	44	19	26	60	38	14	21	15	532	28	2660	1010	658	1466	301	1979	1127	0	78	0	4	24	11286	557	461	586	856	1194	569	2	11	0	0	0	7	9	11997
89bad9961f608b8c9ecf98ab46635b97	asv_2	456	75	292	519	107	357	159	120	363	910	82	362	101	248	101	4742	2321	371	744	560	254	15795	84	223	71	189	770	1009	13337	4704	19974	40154	188	496	174	409	27302	28398	434	221	276	287	366	455	630	398	422	23794	240	261	328	450	506	506	373	361	211	238	26766	247	325	331	263	178	191	136	124	147	169	18965	178	11060	6554	16711	4312	20985	13249	15645	22335	17106	21924	14184	161	108	104	144	260	446	311	12915	193	305	301	405	656	395	485	267	304	31530	20734	10130	26159	21199	21440	23995	13438	5098	10772	27046	25279	20578	49752	999	2253	2061	2046	2358	2432	4318	1675	3153	8480	2923	18	60	24	27	61	52	59	36	44	30	29	899	0	73	24
ed317c44d59de735af06bb73a4a2ee5e	asv_3	367	28	161	356	133	243	36	115	296	788	95	279	77	224	105	4786	2152	352	728	542	244	15415	85	192	84	149	668	990	12308	4187	18865	36426	140	399	181	319	23320	25011	321	178	199	202	304	343	405	220	280	22960	177	203	201	259	286	362	226	249	162	180	24719	165	283	235	201	138	179	113	89	114	170	18062	176	10300	6276	16422	3863	19346	12671	15283	21806	16830	18605	14427	123	85	113	154	242	274	189	11522	148	150	204	261	322	257	267	159	194	28658	19887	9549	24207	19953	19699	21887	13450	4843	10141	25687	21540	19555	41965	912	2024	1953	2012	2159	2243	4171	1712	2778	8153	2900	15	32	13	11	45	10	20	14	14	18	24	884	0	27	12
badd51026176fcf9471de6cf2624087a	asv_4	851	4431	936	57815	27097	3504	2938	25325	37188	26969	618	48557	26488	15120	36178	685	27	15715	13410	21947	18444	920	3160	3306	497	6920	21593	13983	9971	11403	588	11	2190	39088	640	49499	97	122	112	83	95	79	88	125	112	106	121	72	77	111	76	83	130	148	136	157	82	129	81	95	108	146	103	126	81	81	90	77	98	54	113	64	84	48	58	63	49	63	79	20	82	18	21	17	32	13	23	54	47	57	25	48	24	66	0	0	0	0	0	77	0	1	0	6	0	11	5	0	7	0	83	0	115	22	1	39	13	4	0	13	5195	3	257	7	16	2867	810	2586	1476	3284	1533	1528	2687	1881	1382	1	0	0	0
1765b330846289ef870f0af79036148a	asv_5	818	4222	726	52738	26360	3386	94	24519	35051	25679	516	45165	25390	14565	34943	686	29	14874	13010	20622	17776	936	3021	3215	465	6908	20854	13840	9480	10859	632	4	2214	35857	599	46056	101	71	121	95	99	84	100	133	107	96	104	83	80	101	79	70	114	125	120	114	122	136	86	103	115	174	92	105	125	97	90	85	91	76	138	90	69	80	58	88	56	54	82	24	75	24	25	19	22	25	24	56	43	81	43	53	31	76	0	8	0	0	0	60	0	0	0	0	0	0	3	0	0	0	103	0	113	11	0	40	11	0	0	7	5067	1	217	3	16	2989	758	2663	1543	3153	1581	1480	2901	1818	1441	0	0	3	3
9ea812d2b48792e6eb9b6a8aad37a247	asv_6	0	0	95	123	114	124	0	58	80	7	57	54	128	196	158	145	0	0	12	16	9	6	5	5	8	0	0	0	2	0	2	0	82	120	94	91	53	79	41245	12217	19837	494	17480	17133	54621	184	39220	17	23014	10033	5496	1509	4860	5770	525	2537	14314	3131	120	2824	9888	34261	19292	9055	75001	9439	23383	34766	8495	40	10635	3079	1002	2264	2088	902	388	147	240	406	38	1478	65	33	26	17	21	43	10	29	32	32	253	143	97	33	79	163	88	29	27	16	39	41	15	87	20	14	21	22	46	23	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a84130117c4050e165199bce9ce5520e	asv_7	0	0	7	23	14	25	0	13	16	0	7	11	22	25	29	19	0	0	3	0	8	0	2	2	0	0	0	0	0	0	0	0	13	12	13	11	25	81	13935	11891	16557	521	9789	19152	24720	19510	21826	22	24526	7386	6434	1570	4332	3264	1174	1951	3150	3287	38	657	7184	25551	14881	11698	27574	35719	5827	27831	21596	34	12775	2183	7018	2844	837	2958	1688	2863	1972	1036	15	4841	22	18	10	17	33	11	15	25	24	7	18	12	13	8	13	20	0	23	4	4	11	9	12	11	14	2	9	5	20	7	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75389db78ba52fb30f5ccebc73eb13b0	asv_8	198	57	81	259	69	240	105	45	187	460	63	184	31	144	27	2441	1215	216	384	268	116	8244	34	93	38	89	461	515	7217	2320	10302	23540	100	317	106	189	14518	15065	277	144	165	187	235	301	425	251	287	12798	144	167	232	300	308	305	203	288	122	186	14268	168	179	232	182	89	102	70	90	77	136	9705	130	5671	3421	8590	2103	10995	6784	8109	11738	9091	11349	7596	128	57	78	90	157	305	200	6807	144	140	214	259	406	294	321	176	220	17035	10745	5458	14036	10904	11379	12575	7096	2652	5710	14385	15263	11174	27644	531	1121	1037	1026	1124	1289	2183	892	1614	4577	1497	15	29	17	22	35	25	53	12	40	34	14	490	0	29	20
c78f4f4b3fa22dbbb3a21d79743e7ace	asv_9	193	17	88	224	52	168	20	55	197	448	92	191	36	169	71	2463	1151	207	426	315	143	8117	48	103	46	93	409	506	6748	2354	10121	21443	94	279	156	239	13806	14423	269	150	138	178	230	213	283	138	198	12112	105	126	162	171	188	281	157	165	113	133	13575	102	158	154	144	104	105	50	46	62	105	9736	121	5520	3547	8496	2143	10796	6478	7748	11409	8632	10211	7539	109	61	82	90	152	185	120	6453	97	131	123	153	249	167	220	96	93	15777	10456	5253	13818	10724	10890	12165	7189	2517	5468	14361	12853	10862	25689	512	1104	1064	1059	1199	1149	2159	851	1459	4330	1506	3	13	5	5	25	4	15	10	8	6	12	420	6	13	8
dc1e5bd374efca11fa71f3044140c070	asv_10	32	22	140	197	144	172	80	118	149	60	109	159	0	4	0	0	21	33	5	7	0	10	0	0	0	0	63	112	186	123	172	67	8	37	9	25	4203	4141	82	82	166	72	56	91	310	249	286	1744	269	14198	19122	26698	28754	4397	21452	10669	6947	22877	2847	2306	159	213	46	48	39	44	86	39	25	633	29	46	551	60	74	136	62	50	84	68	8987	64	42	35	53	29	55	995	390	1220	240	27639	21883	21562	21061	13250	24079	25292	30542	6363	264	242	327	73	58	66	45	112	56	55	1334	70	3819	21	15	35	10	5	0	30	19	16	27	16	11	88	30	135	77	76	88	15	51	16	11	0	0	22	12
